,Country,Codes,Year,Salary,Job Satisfaction,Combined
0,Albania,ALB,2017,44516.1290325,8.5,6.483870967750001
1,Albania,ALB,2018,11748.0,6.384615384615385,4.1472561085972846
2,Albania,ALB,2019,14352.0,5.642857142857143,3.7977277310924373
3,Albania,ALB,2020,14838.0,6.25,4.1710705882352945
4,Andorra,AND,2018,48955.0,7.0,5.749480392156863
5,Andorra,AND,2019,150000.0,5.0,7.9411764705882355
6,Andorra,AND,2020,35672.0,6.0,4.718478431372549
7,Austria,AUT,2017,49731.182795,6.6,5.540059034343137
8,Austria,AUT,2018,52872.0,6.225225225225225,5.4242971913089555
9,Austria,AUT,2019,48120.5,6.105691056910569,5.195599641319943
10,Austria,AUT,2020,44618.5,6.2,5.134342156862745
11,Belarus,BLR,2017,27600.0,7.0,5.037647058823529
12,Belarus,BLR,2018,15600.0,5.76,3.908235294117647
13,Belarus,BLR,2019,22236.0,5.913043478260869,4.219460869565218
14,Belarus,BLR,2020,22872.0,5.545454545454546,4.024432085561498
15,Belgium,BEL,2017,44731.182795,7.1875,5.718980602970588
16,Belgium,BEL,2018,44064.0,6.27,5.157035294117646
17,Belgium,BEL,2019,51559.0,6.282051282051282,5.413957616892912
18,Belgium,BEL,2020,45396.0,6.273972602739726,5.203772119258662
19,Bosnia and Herzegovina,BIH,2018,28338.5,5.642857142857143,4.263944397759104
20,Bosnia and Herzegovina,BIH,2019,17412.0,4.625,3.3009882352941173
21,Bosnia and Herzegovina,BIH,2020,19872.0,6.3,4.3682823529411765
22,Bulgaria,BGR,2017,19459.45946,7.705882352941177,5.181520620985006
23,Bulgaria,BGR,2018,22032.0,5.780487804878049,4.134686944045911
24,Bulgaria,BGR,2019,28080.0,5.850746268656716,4.37761545215101
25,Bulgaria,BGR,2020,25398.0,6.117647058823529,4.445215916955017
26,Croatia,HRV,2017,18279.56989,8.0,5.31520134927451
27,Croatia,HRV,2018,23904.0,6.416666666666667,4.571309803921569
28,Croatia,HRV,2019,21324.0,6.170731707317073,4.340642180774749
29,Croatia,HRV,2020,29604.0,6.238095238095238,4.656267787114846
